FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04
1393,2147,126.6257035,45.73003673,14,20.31540302,0.431791918,2549.497646
1394,2148,126.614728,45.72765535,14,20.31540302,0.460420398,2531.030704
1395,2149,126.6206331,45.73062165,14,20.31540302,0.431791918,2017.990334
1396,2150,126.6265389,45.73358765,48,20.31540302,0.431791918,3735.740888
1397,2151,126.6163974,45.73475733,48,21.56491593,0.431791918,2561.033549
1398,2152,126.6079241,45.74302817,48,21.56491593,0.431791918,2421.414446
1399,2153,126.6155626,45.73120635,14,21.56491593,0.460420398,1333.604621
1400,2154,126.6214682,45.73417261,48,20.31540302,0.431791918,2288.372773
1401,2155,126.6299382,45.72590068,14,19.18472755,0.460420398,3237.254776
1402,2156,126.6197981,45.72707069,14,20.31540302,0.460420398,2375.173434
1403,2157,126.635844,45.7288662,14,19.18472755,0.460420398,2573.092237
1404,2158,126.6248682,45.7264858,14,20.31540302,0.460420398,2512.491865
1405,2159,126.6400779,45.72472976,5,19.18472755,0.460420398,1838.481525
1406,2160,126.6307738,45.72945158,14,20.31540302,0.460420398,784.5947499
1407,2161,126.6366801,45.73241707,48,20.31540302,0.431791918,3267.497126
1408,2162,126.6409141,45.7282806,5,19.18472755,0.460420398,2418.780999
1409,2163,126.6316096,45.73300247,48,20.31540302,0.431791918,1666.487175
1410,2164,126.6375162,45.73596792,48,20.31540302,0.431791918,5200.62378
1411,2165,126.6417505,45.73183143,47,19.18472755,0.431791918,817.6705326
1412,2166,126.6282101,45.74068948,48,20.31540302,0.431791918,3772.402322
1413,2167,126.6172323,45.73830831,48,21.56491593,0.431791918,3302.979684
1414,2168,126.6180673,45.74185928,48,21.56491593,0.431791918,2110.341227
1415,2169,126.6239741,45.74482543,48,21.56491593,0.431791918,6481.168003
1416,2170,126.6138305,45.74599484,48,21.56491593,0.431791918,4561.470104
1417,2171,126.6189024,45.74541025,48,21.56491593,0.431791918,3066.404189
1418,2172,126.6324454,45.73655336,48,20.31540302,0.431791918,1888.578272
1419,2173,126.6341173,45.74365512,48,20.31540302,0.431791918,1382.369138
