FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
340,739,126.624378,45.59158982,13,17.23575477,0.384397242,787.8427587,0.3765359199999996
341,740,126.6319378,45.60165727,13,17.23575477,0.384397242,1451.703346,0.37601159999999956
342,741,126.6403855,45.59338396,13,16.39797544,0.384397242,626.6397413,0.37724519999999956
343,742,126.6294357,45.59100447,13,16.39797544,0.384397242,417.345859,0.3765359199999996
344,743,126.6412202,45.59693484,13,17.23575477,0.384397242,319.1400838,0.37712457999999954
345,744,126.6471133,45.59989958,13,17.23575477,0.384397242,2001.828533,0.3773486199999996
346,745,126.6420549,45.6004857,13,17.23575477,0.384397242,1199.966984,0.3765775499999996
347,746,126.6428898,45.60403656,13,18.16158725,0.384397242,897.7366113,0.37678858999999953
348,748,126.6454433,45.5927979,13,16.39797544,0.384397242,1024.798935,0.37742974999999956
349,749,126.627713,45.60579366,13,17.23575477,0.384397242,765.8968719,0.3762226399999995
350,750,126.6336064,45.6087591,13,17.23575477,0.384397242,1493.796825,0.37661096999999955
351,751,126.6226539,45.60637891,13,17.23575477,0.384397242,934.4626983,0.3762226399999995
352,752,126.6293812,45.61289555,49,17.23575477,0.399803638,88.72854225,0.3959904699999999
353,753,126.6234876,45.60992988,13,17.23575477,0.384397242,482.5624225,0.37661096999999955
354,754,126.6243214,45.61348085,49,17.23575477,0.399803638,346.8875176,0.39623054999999985
355,755,126.637831,45.60462249,13,17.23575477,0.384397242,1260.726934,0.37638751999999953
356,756,126.6395004,45.61172425,49,17.23575477,0.384397242,450.4611874,0.37748615999999946
357,758,126.6327721,45.60520819,13,17.23575477,0.384397242,1348.814696,0.3762226399999995
358,759,126.6386656,45.60817337,13,17.23575477,0.384397242,1210.681419,0.3767758499999995
359,760,126.6445598,45.61113826,49,18.16158725,0.384397242,1181.575479,0.3775389199999995
360,761,126.6403352,45.61527512,49,17.23575477,0.384397242,598.8933654,0.3777527299999995
361,762,126.6344408,45.61231001,49,17.23575477,0.384397242,769.9352762,0.37696142999999954
362,763,126.6461329,45.66202211,15,18.16158725,0.40809458,935.4653173,0.39862355
363,764,126.6452477,45.68036225,15,17.23575477,0.431791918,592.9342346,0.42823072
364,766,126.5425238,45.61926351,3,18.16158725,0.431791918,443.3221461,0.4249801000000003
365,768,126.5433525,45.62281497,7,18.16158725,0.431791918,590.7259656,0.4257260900000003
366,773,126.5416951,45.61571205,3,18.16158725,0.431791918,397.691025,0.4245712500000003
367,779,126.5484138,45.62223328,7,18.16158725,0.431791918,308.7397547,0.42565761000000024
368,780,126.549243,45.6257847,7,18.16158725,0.431791918,276.4582957,0.42565761000000024
369,790,126.5441814,45.62636641,7,18.16158725,0.431791918,428.2611856,0.4256646900000003
370,792,126.5458394,45.63346929,7,18.16158725,0.431791918,403.1253177,0.42525574000000027
371,793,126.5500723,45.62933611,7,18.16158725,0.431791918,420.6173679,0.42518726000000023
372,794,126.5450104,45.62991785,7,18.16158725,0.431791918,699.0133424,0.42525574000000027
373,796,126.5551341,45.62875414,7,18.16158725,0.431791918,44.81954533,0.4255962100000002
374,804,126.5543045,45.62520276,7,18.16158725,0.431791918,359.3422979,0.42565761000000024
375,806,126.5889006,45.61757166,2,18.16158725,0.416385521,447.2278362,0.39738839
376,812,126.5846714,45.62170637,2,18.16158725,0.431791918,63.75606822,0.4302158899999998
377,835,126.5246658,45.65413259,7,18.16158725,0.431791918,158.3575551,0.4226308300000003
378,836,126.5314804,45.63876477,7,18.16158725,0.431791918,1244.500572,0.42525574000000027
379,837,126.5424349,45.64115375,7,18.16158725,0.431791918,1266.091992,0.42206639000000024
380,838,126.5432639,45.6447052,7,18.16158725,0.431791918,963.0285944,0.42206639000000024
381,839,126.5382006,45.64528661,7,18.16158725,0.431791918,838.4015086,0.42206639000000024
